Cluster,quarter,FCG<=2,tot_meb,fatalities,r3s,ramadan_days
Al Khukhah,2024Q3,0.517857143,1.027047898,,0.712,0
Al Khukhah,2024Q4,0.494623656,1.045543834,3,1.538,0
Al Khukhah,2025Q1,0.5,1.045543834,1,-0.036,30
Al Khukhah,2025Q2,0.572916667,1.043449954,11,-1.318,0
Al Khukhah,2025Q3,0.611111111,0.994579743,,1.371,0
Al Khukhah,2025Q4,0.677777778,1.234795967,,0.121,0
Al Ma'afer,2025Q3,0.688888889,1.118747147,,1.864,0
Al Ma'afer,2025Q4,0.588888889,1.086515111,0,-0.601,0
Al Madan,2023Q4,0.636363636,0.96894526,,1.41,
Al Madan,2024Q1,0.4,0.970454015,,-0.004,22
Al Madan,2024Q2,0.642857143,1.271859942,,-0.725,10
Al Madan,2024Q3,0.729166667,1.576044129,0,1.789,0
Al Madan,2024Q4,0.76,1.576044129,,1.599,0
Al Madan,2025Q1,0.739583333,1.129769223,,0.602,30
Al Madan,2025Q2,0.739583333,1.096933625,,-1.483,0
Al Madan,2025Q3,0.747252747,1.173922384,,1.8,0
Al Madan,2025Q4,0.813186813,1.234795967,,-0.536,0
Al Madaribah Wa Al Aarah,2024Q2,0.535353535,0.791347612,2,1.138,10
Al Madaribah Wa Al Aarah,2024Q3,0.625,0.788507878,0,1.558,0
Al Madaribah Wa Al Aarah,2024Q4,0.621212121,0.716043493,1,0.152,0
Al Madaribah Wa Al Aarah,2025Q1,0.633333333,0.684042739,2,-1.08,30
Al Madaribah Wa Al Aarah,2025Q2,0.736842105,0.650640145,0,-1.595,0
Al Madaribah Wa Al Aarah,2025Q3,0.6,0.748137043,2,2.285,0
Al Madaribah Wa Al Aarah,2025Q4,0.608695652,0.838816782,0,-0.901,0
Al Madaribah Wa Al Arah,2023Q4,0.25,0.780325964,1,-0.386,
Al Madaribah Wa Al Arah,2024Q1,0.625,0.842134752,0,0.011,22
Al Maflahi,2024Q2,0.682926829,0.790187972,,0.848,10
Al Maflahi,2024Q3,0.821428571,0.816796901,,2.51,0
Al Maflahi,2024Q4,0.694736842,0.743162844,,1.241,0
Al Maflahi,2025Q1,0.773195876,0.692806347,,-0.7,30
Al Maflahi,2025Q2,0.864583333,0.651071208,,-1.557,0
Al Maflahi,2025Q3,0.765957447,0.765639874,,0.496,0
Al Maflahi,2025Q4,0.722222222,0.856739259,,-0.485,0
Al Maflahy,2023Q4,1,0.797645935,,0.004,
Al Maflahy,2024Q1,0.75,0.818920092,,-0.507,22
Al Maghrabah,2023Q4,0.555555556,1.120629222,,1.259,
Al Maghrabah,2024Q1,0.764705882,1.128366965,,-0.362,22
Al Maghrabah,2024Q2,0.804878049,1.154723506,,-0.665,10
Al Maghrabah,2024Q3,0.76344086,1.170092437,,1.752,0
Al Maghrabah,2024Q4,0.788888889,1.182163517,,1.145,0
Al Maghrabah,2025Q1,0.737373737,1.134201207,,0.134,30
Al Maghrabah,2025Q2,0.842105263,1.129657011,,-1.249,0
Al Maghrabah,2025Q3,0.75257732,1.135479122,,1.859,0
Al Maghrabah,2025Q4,0.733333333,1.234795967,,-0.335,0
Al Mahabishah,2023Q4,0.428571429,1.114076387,,1.615,
Al Mahabishah,2024Q1,0.318181818,1.128067442,,-0.389,22
Al Mahabishah,2024Q2,0.420560748,1.167156224,,-0.563,10
